,name,homepage,image,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,commit_count,trending
0,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,https://github.com/andfanilo/streamlit-echarts/raw/develop/img/demo.gif,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2023-01-06 20:58:39,2021-12-12 13:34:46,37,10.0,13.0,300,2021-12-12 13:38:44,0.4.0,1.0,A Streamlit component to render ECharts.,309.0,309.0,6.0,16,1,,
1,FastAPI Model Serving,https://github.com/davidefiocco/streamlit-fastapi-model-serving,https://davidefiocco.github.io/images/2020-06-27-streamlit.png,davidefiocco/streamlit-fastapi-model-serving,ml,True,https://github.com/davidefiocco/streamlit-fastapi-model-serving,MIT,2020-06-20 18:57:39,2022-11-22 10:33:50,2022-07-09 20:01:38,65,2.0,6.0,298,,,,Simple web app example serving a PyTorch model using streamlit and FastAPI.,,,4.0,11,1,70.0,-1.0
2,Cheat Sheet,https://share.streamlit.io/daniellewisdl/streamlit-cheat-sheet/master/app.py,https://github.com/daniellewisDL/streamlit-cheat-sheet/raw/master/streamlit-cheat-sheet.png,daniellewisDL/streamlit-cheat-sheet,non-ml,True,https://github.com/daniellewisDL/streamlit-cheat-sheet,MIT,2020-08-14 04:58:15,2022-04-03 03:43:14,2022-04-03 03:43:14,64,1.0,3.0,224,,,,A cheat sheet for streamlit.,,,5.0,11,1,75.0,
3,Intent Example Finder,https://share.streamlit.io/rasahq/nlu-training-data/main,https://github.com/RasaHQ/NLU-training-data/raw/main/dashboard.png,RasaHQ/NLU-training-data,nlp,True,https://github.com/RasaHQ/NLU-training-data,Apache-2.0,2019-10-30 13:48:33,2022-12-20 13:18:20,2021-08-16 07:32:35,111,3.0,17.0,171,,,,Crowd sourced training data for Rasa NLU models.,,,34.0,12,1,,
4,Graph App Kit,https://github.com/graphistry/graph-app-kit,https://user-images.githubusercontent.com/4249447/92298596-8e518600-eeff-11ea-8276-069281a4af93.png,graphistry/graph-app-kit,ml,True,https://github.com/graphistry/graph-app-kit,BSD-3-Clause,2020-08-18 22:02:45,2023-01-22 21:01:55,2022-11-01 19:24:01,15,26.0,11.0,115,,,,Go from graph data to a secure and interactive visual graph app in 15 minutes. Batteries-included self-hosting of..,,,6.0,11,1,295.0,
5,Observable,https://streamlit-observable.herokuapp.com/,,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2022-07-16 09:29:39,2020-10-15 02:21:37,14,2.0,1.0,71,,,,Embed Observable notebooks into Streamlit apps!.,27.0,27.0,6.0,11,3,22.0,
6,Global cities explorer,https://github.com/asehmi/Data-Science-Meetup-Oxford/tree/master/GlobalCities,https://github.com/asehmi/Data-Science-Meetup-Oxford/raw/master/GCFS-streamlit.png,asehmi/Data-Science-Meetup-Oxford,bi,True,https://github.com/asehmi/Data-Science-Meetup-Oxford,,2020-02-26 15:03:04,2022-09-21 08:49:46,2022-09-21 08:49:37,17,,2.0,71,,,,Content shared at DS-OX Meetup.,,,2.0,6,3,44.0,
7,D3 Demo,https://github.com/andfanilo/streamlit-d3-demo,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,13,1.0,1.0,52,,,,D3 in React in Streamlit tech demo.,12.0,12.0,3.0,11,3,26.0,
8,Time Series Forecasting,https://autoforecast-prophet.herokuapp.com/,https://github.com/zachrenwick/streamlit_forecasting_app/raw/master/images/screenshot2.jpg,zachrenwick/streamlit_forecasting_app,bi,True,https://github.com/zachrenwick/streamlit_forecasting_app,MIT,2020-05-18 22:15:36,2022-10-21 23:11:21,2022-10-21 23:11:14,29,1.0,2.0,44,,,,This MVP data web app uses the Streamlit framework and Facebook's Prophet forecasting package to generate a dynamic..,,,3.0,10,1,36.0,
9,Covid-19 Data Explorer,https://covid19.cwerner.ai/,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2022-08-06 05:52:22,2020-11-12 13:31:29,3,1.0,2.0,22,,,,Dashboard for the COVID19 spread.,,,,9,1,30.0,
10,Travelling Salesman,https://github.com/miclindahl/tsp-streamlit/,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif,miclindahl/tsp-streamlit,bi,True,https://github.com/miclindahl/tsp-streamlit,,2020-01-16 08:16:19,2020-01-16 08:30:54,2020-01-16 08:30:53,4,,,4,,,,Animation of solving the traveling salesman problem to optimality using mixed-integer programming and iteratively..,,,,5,3,4.0,
